,LOWER(category),Contagem,,Primeiro crivo,,Segundo crivo,Final,,
FALSE,redux,10,FALSE,,FALSE,,,,
FALSE,rendering,3,FALSE,,FALSE,,,,
FALSE,repl,2,FALSE,,FALSE,,,,
FALSE,reporting,3,FALSE,,FALSE,,,,
FALSE,repository,4,FALSE,,FALSE,,,,
FALSE,research,3,FALSE,,FALSE,,,,
FALSE,rest,2,FALSE,,FALSE,,,,
FALSE,reverse engineering,2,FALSE,,FALSE,,,,
FALSE,ros,2,FALSE,,FALSE,,,,
FALSE,roslyn,2,FALSE,,FALSE,,,,
FALSE,rpc,2,FALSE,,FALSE,,,,
FALSE,rpg,2,FALSE,,FALSE,,,,
FALSE,rust,5,FALSE,,FALSE,,,,
FALSE,samples,4,FALSE,,FALSE,,,,
FALSE,sass,2,FALSE,,FALSE,,,,
FALSE,schema,2,FALSE,,FALSE,,,,
FALSE,screenshots,2,FALSE,,FALSE,,,,
FALSE,scripting,6,FALSE,,FALSE,,,,
FALSE,scripts,2,FALSE,,FALSE,,,,
TRUE,sdk,4,FALSE,sdk,FALSE,,,,
FALSE,search,7,FALSE,,FALSE,,,,
FALSE,secure,3,FALSE,,FALSE,,,,
FALSE,secure scuttlebutt,2,FALSE,,FALSE,,,,
TRUE,security,23,TRUE,security,TRUE,security,"security,",,
FALSE,self-hosted,2,FALSE,,FALSE,,,,
FALSE,serialization,3,FALSE,,FALSE,,,,
TRUE,server,10,TRUE,server,TRUE,server,"server,",,
FALSE,serverless,2,FALSE,,FALSE,,,,
FALSE,shadowsocks,2,FALSE,,FALSE,,,,
FALSE,sharepoint,3,FALSE,,FALSE,,,,
FALSE,sharing,3,FALSE,,FALSE,,,,
FALSE,shopping,3,FALSE,,FALSE,,,,
FALSE,silverlight,2,FALSE,,FALSE,,,,
FALSE,slack,2,FALSE,,FALSE,,,,
FALSE,smart mirror,2,FALSE,,FALSE,,,,
TRUE,social media,3,FALSE,social media,FALSE,,,,
FALSE,software,92,FALSE,,FALSE,,,,
FALSE,software development,17,FALSE,,FALSE,,,,
FALSE,software development kit,2,FALSE,,FALSE,,,,
FALSE,solution,4,FALSE,,FALSE,,,,
FALSE,sound,3,FALSE,,FALSE,,,,
FALSE,soundcloud,3,FALSE,,FALSE,,,,
FALSE,source code,4,FALSE,,FALSE,,,,
FALSE,speech,2,FALSE,,FALSE,,,,
FALSE,speed,3,FALSE,,FALSE,,,,
FALSE,spotify,5,FALSE,,FALSE,,,,
